,Rank,School,State,Score,Year,8-Event,10-Event
113,113,Northwest Pennsylvania Collegiate Academy,Pennsylvania,34506.5,2022,,
114,114,Cibola High School,Arizona,34419.4,2022,,
115,115,Lubbock Coronado High School,Texas,34243.3,2022,,
116,116,Taylor High School,Texas,33912.7,2022,,
117,117,Camille Casteel High School,Arizona,33853.2,2022,,
118,118,Marshall High School,California,33808.1,2022,,
119,119,Avalon School,Minnesota,33732.7,2022,,
120,119,Avalon School,Minnesota,33732.7,2022,,
121,120,Hackensack High School,New Jersey,33683.6,2022,,
122,121,Arlington High School,Texas,33647.6,2022,,
123,122,Veterans Memorial High School,Texas,33590.7,2022,,
124,123,Jordan High School,Texas,33525.3,2022,,
125,124,Westwood Regional High School,New Jersey,33482.5,2022,,
126,125,Moniteau High School,Pennsylvania,33343.9,2022,,
127,126,Trabuco Hills High School,California,33248.2,2022,,
128,127,Valley Academy of Arts & Sciences,California,33168.5,2022,,
129,128,Bell High School,California,33133,2022,,
130,129,Boulder Creek High School,Arizona,33044.2,2022,,
131,130,Sherman Oaks Center for Enriched Studies,California,33018.7,2022,,
132,131,Arvin High School,California,33010,2022,,
133,132,Corona High School,California,32929.6,2022,,
134,133,J. J. Pearce High School,Texas,32899.6,2022,,
135,134,Gila Ridge High School,Arizona,32875.4,2022,,
136,135,Frontier High School,California,32776.1,2022,,
137,136,San Gabriel High School,California,32766.4,2022,,
138,137,Townview School of Science & Engineering,Texas,32711.7,2022,,
139,138,North Torrance High School,California,32630,2022,,
140,139,Carl Hayden High School,Arizona,32568.3,2022,,
141,140,Westminster High School,California,32450.6,2022,,
142,141,American Canyon High School,California,32423.1,2022,,
143,142,Rowland High School,California,32323.2,2022,,
144,143,Methacton High School,Pennsylvania,32219.5,2022,,
145,144,Esperanza High School,California,32111.8,2022,,
146,145,Fairmont Preparatory High School,California,31933.1,2022,,
147,146,BASIS Silicon Valley,California,31906,2022,,
148,147,El Paso Coronado High School,Texas,31797.5,2022,,
149,148,Martin High School,Texas,31793.4,2022,,
150,149,Sanger High School,California,31774.2,2022,,
151,150,Higley High School,Arizona,31723.4,2022,,
152,151,Notre Dame Academy,California,31714.7,2022,,
153,152,Weston High School,Connecticut,31692.8,2022,,
154,153,Bella Vista High School,California,31647.9,2022,,
155,154,El Rancho High School,California,31607.1,2022,,
156,155,Harbor Teacher Prep Academy,California,31595.9,2022,,
157,156,Odessa Collegiate Academy,Texas,31576.8,2022,,
158,157,Garfield High School,California,31514.4,2022,,
159,158,Carlisle High School,Pennsylvania,31419.6,2022,,
160,159,Johnston High School,Iowa,31393,2022,,
161,160,Lassiter Early College High School,Texas,31354.9,2022,,
162,161,Campo Verde High School,Arizona,31192.1,2022,,
163,162,North Clarion High School,Pennsylvania,31105,2022,,
164,163,Townview School for the Talented & Gifted,Texas,31021.3,2022,,
165,164,Ponderosa High School,California,30948.4,2022,,
166,165,Acton-Boxborough Regional High School,Massachusetts,30941.1,2022,,
167,166,Hanover Park High School,New Jersey,30859,2022,,
168,167,Thousand Oaks High School,California,30822.6,2022,,
169,168,Talkington High School for Young Women Leaders,Texas,30750.9,2022,,
170,169,Parsippany High School,New Jersey,30717.4,2022,,
171,170,Clovis North High School,California,30607.5,2022,,
172,171,Gardena High School,California,30600.7,2022,,
173,172,Southwest High School (San Diego),California,30578,2022,,
174,173,Robert Vela High School,Texas,30546,2022,,
175,174,Sinton High School,Texas,30467.4,2022,,
176,175,Union High School,Iowa,30338.5,2022,,
177,176,Wellesley High School,Massachusetts,30319.4,2022,,
178,177,Beckman High School,California,30301.3,2022,,
179,178,Urbandale High School,Iowa,30248.3,2022,,
180,179,Dobson High School,Arizona,30238.7,2022,,
181,180,Willits High School,California,30169.3,2022,,
182,181,Maryvale High School,Arizona,30101.3,2022,,
